Array_Size,Partition_N,Average_Time_ns
10000,2,319
10000,3,230
10000,5,202
10000,7,222
10000,9,221
10000,11,223
10000,13,248
10000,15,246
10000,17,257
10000,19,275
20000,2,314
20000,3,236
20000,5,202
20000,7,208
20000,9,213
20000,11,245
20000,13,254
20000,15,248
20000,17,274
20000,19,302
30000,2,320
30000,3,219
30000,5,219
30000,7,222
30000,9,222
30000,11,263
30000,13,261
30000,15,258
30000,17,265
30000,19,298
40000,2,326
40000,3,239
40000,5,216
40000,7,219
40000,9,229
40000,11,246
40000,13,268
40000,15,268
40000,17,293
40000,19,332
50000,2,317
50000,3,248
50000,5,213
50000,7,255
50000,9,278
50000,11,266
50000,13,275
50000,15,285
50000,17,304
50000,19,319
60000,2,323
60000,3,278
60000,5,208
60000,7,222
60000,9,250
60000,11,270
60000,13,305
60000,15,312
60000,17,309
60000,19,349
70000,2,363
70000,3,272
70000,5,221
70000,7,250
70000,9,254
70000,11,286
70000,13,306
70000,15,332
70000,17,298
70000,19,312
80000,2,342
80000,3,257
80000,5,256
80000,7,256
80000,9,293
80000,11,281
80000,13,296
80000,15,315
80000,17,351
80000,19,346
90000,2,349
90000,3,266
90000,5,236
90000,7,235
90000,9,266
90000,11,267
90000,13,323
90000,15,315
90000,17,369
90000,19,335
100000,2,369
100000,3,262
100000,5,228
100000,7,256
100000,9,250
100000,11,280
100000,13,297
100000,15,307
100000,17,339
100000,19,366
