Array_Size,Partition_N,Sample_Key,Found,Time_ns
10000,2,817984,Found,0
10000,2,591725,Found,0
10000,2,181960,Found,0
10000,2,963310,Found,0
10000,2,273981,Found,0
10000,3,352324,Found,0
10000,3,143497,Found,0
10000,3,229347,Found,0
10000,3,188806,Found,0
10000,3,346624,Found,0
10000,5,426728,Found,0
10000,5,560481,Found,0
10000,5,203022,Found,0
10000,5,710121,Found,0
10000,5,431438,Found,0
10000,7,191206,Found,0
10000,7,921374,Found,0
10000,7,969664,Found,0
10000,7,962793,Found,0
10000,7,95077,Found,0
10000,9,965538,Found,0
10000,9,649312,Found,0
10000,9,743879,Found,0
10000,9,18122,Found,0
10000,9,469162,Found,0
10000,11,94875,Found,0
10000,11,341097,Found,0
10000,11,756774,Found,0
10000,11,268106,Found,0
10000,11,946112,Found,0
10000,13,701555,Found,0
10000,13,687129,Found,0
10000,13,602128,Found,0
10000,13,151574,Found,0
10000,13,347476,Found,0
10000,15,280742,Found,0
10000,15,694364,Found,0
10000,15,559033,Found,0
10000,15,367710,Found,0
10000,15,528020,Found,0
10000,17,448000,Found,0
10000,17,219651,Found,0
10000,17,9545,Found,0
10000,17,841109,Found,0
10000,17,619033,Found,0
10000,19,578910,Found,0
10000,19,365200,Found,0
10000,19,62231,Found,0
10000,19,831741,Found,0
10000,19,337170,Found,0
20000,2,184102,Found,0
20000,2,305830,Found,0
20000,2,682322,Found,0
20000,2,662743,Found,0
20000,2,610400,Found,0
20000,3,944032,Found,0
20000,3,123269,Found,0
20000,3,353642,Found,0
20000,3,64688,Found,0
20000,3,651010,Found,0
20000,5,45678,Found,0
20000,5,495895,Found,0
20000,5,267553,Found,0
20000,5,415352,Found,0
20000,5,947183,Found,0
20000,7,811721,Found,0
20000,7,895834,Found,0
20000,7,830695,Found,0
20000,7,159445,Found,0
20000,7,331937,Found,0
20000,9,472662,Found,0
20000,9,398006,Found,0
20000,9,270926,Found,0
20000,9,400972,Found,0
20000,9,811730,Found,0
